Date,Open,High,Low,Close,Adj Close,Volume
11/20/2020,386.87,390.9,384.5,389.56,386.23,395600
11/23/2020,391,393.99,385.18,387.21,383.9,487400
11/24/2020,387.36,387.36,379.52,383.13,379.86,662200
11/25/2020,384.78,385.41,380.91,383.44,380.16,369600
11/27/2020,387,392.49,385.02,390.47,387.13,283100
11/30/2020,388.58,393.08,386.1,392.57,389.22,948800
12/1/2020,391,393.27,386.9,391.75,388.4,605600
12/2/2020,393,394.31,386.77,387.83,384.52,442100
12/3/2020,387.95,391.48,383.08,383.38,380.1,393600
12/4/2020,383.45,385.87,382.55,382.99,379.72,390800
12/7/2020,383.38,392.04,382.42,384.55,381.26,594700
12/8/2020,386.08,389.21,383.82,386.69,383.39,360700
12/9/2020,387.33,390,384.11,384.97,381.68,391100
12/10/2020,382.87,386.69,379.42,386.05,382.75,424300
12/11/2020,386.92,387.12,381.97,383.37,380.09,350300
12/14/2020,382,387.58,381.51,383.23,380.73,512300
12/15/2020,384.51,389.05,383.28,384.68,382.17,505900
12/16/2020,386.4,387.76,381.7,382.52,380.02,515000
12/17/2020,385.72,395.69,384.47,395.16,392.58,804700
12/18/2020,396.99,398.11,392.5,396.71,394.12,997100
12/21/2020,392.68,398.47,389.4,397.18,394.59,527800
12/22/2020,396.37,398.72,392.71,398.72,396.12,438500
12/23/2020,398,404.57,396.18,403.75,401.12,566900
12/24/2020,402.52,404.56,395.66,396.73,394.14,184300
12/28/2020,400.11,403.62,396.54,400.18,397.57,587600
12/29/2020,399.04,400,382.43,384.36,381.85,929400
12/30/2020,385.7,389.88,383.62,384.62,382.11,491900
12/31/2020,384.6,385.4,379.62,383.46,380.96,425700
1/4/2021,383,383.3,377.02,379.5,377.02,663400
1/5/2021,378,382.22,377.81,381.34,378.85,547100
1/6/2021,378.01,385.7,377.42,384.87,382.36,629700
1/7/2021,378.11,387.29,378.11,383.19,380.69,528900
1/8/2021,382.28,388.94,381.19,388.83,386.29,491500
1/11/2021,389.51,397.4,387.95,390.54,387.99,629800
1/12/2021,391.91,394.31,384.2,385.5,382.99,561900
1/13/2021,385,387.89,381.82,381.86,379.37,443000
1/14/2021,385.43,385.43,373.64,373.8,371.36,655800
1/15/2021,374.8,377.23,371.34,375.23,372.78,494800
1/19/2021,377.9,379.62,372.58,372.65,370.22,510400
1/20/2021,373.5,379.23,371,379,376.53,412800
1/21/2021,379,382.74,376,381.12,378.63,500600
1/22/2021,381.57,381.57,375.86,380.37,377.89,341400
1/25/2021,381.24,384,376.65,378.49,376.02,424200
1/26/2021,378.5,380.99,374,378.84,376.37,581500
1/27/2021,376.87,381,371.04,376.91,374.45,635700
1/28/2021,378.24,378.24,366.5,371.6,369.18,763200
1/29/2021,371.33,376.98,369.71,370.76,368.34,506300
2/1/2021,370,375.99,368.25,371.42,369,471700
2/2/2021,374.6,382.87,373.64,377.22,374.76,460200
2/3/2021,376.68,379.85,372,373.33,370.89,495500
2/4/2021,373.77,374.47,371,373,370.57,456500
2/5/2021,374.07,382.1,373.49,377.23,374.77,518600
2/8/2021,375.29,380.49,374.51,380.06,377.58,443500
2/9/2021,380.3,384.3,379.04,382.96,380.46,399700
2/10/2021,384.02,386.48,381.09,382.06,379.57,465800
2/11/2021,383.27,385.94,380.99,385.2,382.69,462100
2/12/2021,385.07,388.05,382.31,385.17,382.66,355200
2/16/2021,386.17,387.46,377.68,377.92,375.45,469600
2/17/2021,377.1,377.1,370.67,376.49,374.03,534200
2/18/2021,375.67,378.9,374.46,377.14,374.68,302900
2/19/2021,378.08,378.24,371,371.46,369.04,501100
2/22/2021,371,371.99,361.19,365.16,362.78,768900
2/23/2021,364,369.03,358.36,366.74,364.35,639000
2/24/2021,367.35,368.47,360.01,364.59,362.21,624800
2/25/2021,340,344.19,331.22,339,336.79,2628600
2/26/2021,339.26,348.64,337.1,346.51,344.25,1340600
3/1/2021,349.56,349.6,344.52,345.06,342.81,1157600
3/2/2021,345.57,347.5,340.94,343.01,340.77,592200
3/3/2021,340.98,342.64,332.28,332.73,330.56,802000
3/4/2021,332.93,338.92,326.66,330.53,328.37,768500
3/5/2021,330.19,331.39,319.71,330.24,328.09,736000
3/8/2021,330,336.6,325.63,333.51,331.33,991200
3/9/2021,339.36,354.61,337.08,354.08,351.77,1405000
3/10/2021,356.63,360.74,352.46,357.93,355.6,1581900
3/11/2021,358.75,362.45,355.09,358.37,356.03,990600
3/12/2021,353.73,361.63,353.23,361.11,359.7,683100
3/15/2021,361.75,363.17,357.5,362.97,361.55,758300
3/16/2021,365.07,367.62,362.34,366.01,364.58,687700
3/17/2021,363.22,364.38,359.31,363.25,361.83,646400
3/18/2021,360.76,364.46,355.27,363.82,362.4,583900
3/19/2021,365.4,366.58,361.74,363.7,362.28,898200
3/22/2021,363.71,370.32,363.5,369.32,367.88,555400
3/23/2021,369.71,374.94,367.68,374.42,372.96,608500
3/24/2021,374.01,374.03,363.57,366.22,364.79,751400
3/25/2021,366.12,368.45,364.01,367.6,366.16,627800
3/26/2021,366.25,372.05,365.05,371.84,370.39,483100
3/29/2021,372.41,377.98,370.03,372.08,370.62,460400
3/30/2021,370.6,370.98,365.58,368.13,366.69,548900
3/31/2021,369.53,372.34,366.77,367.79,366.35,513700
4/1/2021,370,376.73,367.48,373.38,371.92,567600
4/5/2021,373,373.75,367.29,371.64,370.19,701700
